2018-09-16 17:59:23,759 - INFO - Experiment dir: [results/search-EXP-20180916-175923]
2018-09-16 17:59:36,106 - INFO - Loaded model from [./pre_trained/resnet_cifar10_trained_32_bit_deeper/model_best.pth.tar]
2018-09-16 17:59:36,107 - INFO - checkpoint validation accuracy:[91.06000]
2018-09-16 17:59:36,136 - INFO - GPU:[0]
2018-09-16 17:59:36,137 - INFO - args = Namespace(MaxBopsBits=2, alphas_regime='alphas_weights_loop', arch_learning_rate=1.0, arch_weight_decay=0.001, batch_size=250, bitwidth=[2], bopsCounter='discrete', cutout=False, cutout_length=16, data='../data/', dataset='cifar10', device='cuda:0', drop_path_prob=0.3, epochs=[10], gpu=[0], grad_clip=5, kernel=[3], learning_rate=0.01, learning_rate_min=1e-05, lmbda=0.0, loadedOpsWithDiffWeights=False, loss='UniqLoss', maxBops=2964807680.0, model='resnet', momentum=0.9, nBitsMax=3, nBitsMin=1, nCopies=2, nSamplesPerAlpha=50, opt_pre_trained=None, pre_trained='./pre_trained/resnet_cifar10_trained_32_bit_deeper/model_best.pth.tar', propagate=False, report_freq=1, save='results/search-EXP-20180916-175923', seed=2, trainFolder='train', train_portion=1.0, unrolled=False, weight_decay=0.0001, workers=1)
2018-09-16 17:59:36,140 - INFO - param size = 0.272474MB
2018-09-16 17:59:36,141 - INFO - Learnable params:[65]
2018-09-16 17:59:36,141 - INFO - Ops per layer:[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2018-09-16 17:59:36,142 - INFO - nPerms:[1]
2018-09-16 17:59:38,979 - INFO - nEpochs:[220]
2018-09-16 17:59:38,980 - INFO - epochsSwitchStage:[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200, 210]
2018-09-16 18:00:01,045 - INFO - Epoch:[1] , training accuracy:[95.002] , training loss:[0.142] , optimizer_lr:[0.01000]
2018-09-16 18:00:23,085 - INFO - Epoch:[2] , training accuracy:[95.734] , training loss:[0.120] , optimizer_lr:[0.01000]
2018-09-16 18:00:45,011 - INFO - Epoch:[3] , training accuracy:[96.024] , training loss:[0.114] , optimizer_lr:[0.01000]
2018-09-16 18:01:06,831 - INFO - Epoch:[4] , training accuracy:[96.176] , training loss:[0.109] , optimizer_lr:[0.01000]
2018-09-16 18:01:28,647 - INFO - Epoch:[5] , training accuracy:[96.306] , training loss:[0.105] , optimizer_lr:[0.00999]
2018-09-16 18:01:50,315 - INFO - Epoch:[6] , training accuracy:[96.620] , training loss:[0.099] , optimizer_lr:[0.00999]
2018-09-16 18:02:12,150 - INFO - Epoch:[7] , training accuracy:[96.536] , training loss:[0.100] , optimizer_lr:[0.00998]
2018-09-16 18:02:34,517 - INFO - Epoch:[8] , training accuracy:[96.742] , training loss:[0.096] , optimizer_lr:[0.00998]
2018-09-16 18:02:56,802 - INFO - Epoch:[9] , training accuracy:[96.868] , training loss:[0.091] , optimizer_lr:[0.00997]
2018-09-16 18:03:18,720 - INFO - Epoch:[10] , training accuracy:[96.984] , training loss:[0.087] , optimizer_lr:[0.00996]
2018-09-16 18:03:26,793 - INFO - Epoch:[10] , validation accuracy:[9.750] , validation loss:[2.912] , OptBopsRatio:[1.000]
2018-09-16 18:03:48,197 - INFO - Epoch:[11] , training accuracy:[96.204] , training loss:[0.108] , optimizer_lr:[0.00996]
2018-09-16 18:04:10,129 - INFO - Epoch:[12] , training accuracy:[96.668] , training loss:[0.092] , optimizer_lr:[0.00996]
2018-09-16 18:04:31,568 - INFO - Epoch:[13] , training accuracy:[96.978] , training loss:[0.086] , optimizer_lr:[0.00995]
2018-09-16 18:04:53,957 - INFO - Epoch:[14] , training accuracy:[97.158] , training loss:[0.082] , optimizer_lr:[0.00995]
